majorsubgroup_occupation_labelled,wtd_avg_income_not_outsourced,wtd_avg_income_outsourced,n_not_outsourced,n_outsourced,pay_penalty
Business And Public Service Associate Professionals,19.281215685006398,17.71831022051402,504,75,-1.5629054644923777
"Business, Media And Public Service Professionals",22.180708501678,20.105796359147206,458,69,-2.0749121425307955
Caring Personal Service Occupations,12.793158717401637,12.237709992728249,502,117,-0.5554487246733881
Corporate Managers And Directors,21.209626410077725,20.07699379375699,600,123,-1.132632616320734
Customer Service Occupations,15.111693467713367,14.345144044014493,185,35,-0.7665494236988746
Elementary Administration And Service Occupations,12.253347671874295,11.788142472493734,483,173,-0.46520519938056104
Elementary Trades And Related Occupations,14.927689992087156,14.569846878996566,40,11,-0.35784311309059014
Health Professionals,21.396348361599284,17.86746684390679,303,62,-3.5288815176924935
"Leisure, Travel And Related Personal Service Occupations",13.643322690468807,12.3007910277319,109,25,-1.3425316627369064
Other Managers And Proprietors,17.164757748015372,15.900268961821553,162,29,-1.2644887861938194
"Process, Plant And Machine Operatives",14.203012227758727,13.860648949397094,154,34,-0.34236327836163305
Protective Service Occupations,20.770817105513878,16.109804385871108,87,11,-4.66101271964277
"Science, Engineering And Technology Associate Professionals",19.08387051168445,15.390307942753068,168,38,-3.6935625689313802
"Science, Research, Engineering And Technology Professionals",22.488156437022795,21.851142949621913,397,82,-0.6370134874008819
Secretarial And Related Occupations,14.65361873497462,13.228257991503174,146,17,-1.4253607434714457
Skilled Construction And Building Trades,16.052144432071685,15.558988340777319,63,18,-0.49315609129436666
"Textiles, Printing And Other Skilled Trades",13.489476435348246,13.169085426698961,115,24,-0.3203910086492847
Transport And Mobile Machine Drivers And Operatives,16.322466277527454,13.431314874709546,207,54,-2.8911514028179077
