SectorName,SectorName_short,perc_Not outsourced,perc_Outsourced,perc_difference,wtd_avg_income_Not outsourced,wtd_avg_income_Outsourced,income_difference
1,Accommodation and food service activities,5.8872856432100695,6.712353650641702,0.8250680074316321,23814.491412482355,46561.011939905184,22746.52052742283
2,Activities of extraterritorial organisations and bodies,0.043191603779097656,NA,NA,32367.31545407917,NA,NA
3,Activities of households as employers,0.3123760794918415,0.8557356923152938,0.5433596128234524,57350.92109910538,21162.33521282426,-36188.585886281115
4,Administrative and support service activities,2.7603460394841686,6.296490534599887,3.536144495115719,34008.228435298624,25773.634153526174,-8234.59428177245
5,"Agriculture, forestry and fishing",0.4225970969500446,0.2246894234920785,-0.19790767345796612,36423.88377750874,25767.70237502729,-10656.181402481448
6,"Arts, entertainment and recreation",1.8053219946139936,1.6067957696822381,-0.19852622493175542,26930.439607343433,21607.352578331444,-5323.087029011989
7,Construction,3.2214667951353992,4.129731732452841,0.9082649373174418,57729.29624746161,79257.70387574934,21528.407628287736
8,Education,10.997614242426511,8.172210187632244,-2.8254040547942676,42664.00296065479,66203.95042333553,23539.947462680735
9,"Electricity, gas, steam and air conditioning supply",1.2117371334206404,1.315876504316986,0.10413937089634562,84854.37079706926,73130.20003537885,-11724.170761690417
10,Financial and insurance activities,4.909544391837029,4.807067700446971,-0.10247669139005833,62097.405325509346,143214.63976803244,81117.2344425231
11,Human health and social work activities,16.736061264328306,15.80586052447439,-0.930200739853916,34943.27572958575,37315.45117771137,2372.175448125621
12,Information and communication,4.580515047936113,5.324213049676219,0.743698001740106,63987.907556293656,97333.03992109418,33345.13236480053
13,Manufacturing,8.387236526302742,7.283475842946241,-1.1037606833565006,47496.1627950582,61992.041700145244,14495.878905087047
14,Mining and quarrying,0.10342334218044241,NA,NA,54859.57103046843,NA,NA
16,Not found,0.30300153034707367,0.6831154197879586,0.380113889440885,30372.904179899546,30421.162657075758,48.25847717621218
17,Other service activities,2.7676268760424807,3.660007109125396,0.8923802330829154,39021.24400391824,49283.89793536637,10262.653931448127
18,"Professional, scientific and technical activities",3.923593364906247,4.6603108351321945,0.7367174702259476,53888.28530167306,69683.0091164663,15794.723814793244
19,Public administration and defence,7.983220332057707,4.410652495916601,-3.572567836141106,44269.46326768988,80688.10545173367,36418.6421840438
20,Real estate activities,1.2521925275765644,0.966600606798518,-0.2855919207780464,39630.78270501278,27557.001557616208,-12073.781147396574
21,Transportation and storage,4.858475297230998,5.787813937226989,0.9293386399959909,50974.51123556891,40399.44489636397,-10575.06633920494
22,Water supply,0.76275151196509,1.6169503600044104,0.8541988480393204,46514.16575109584,50316.51051703047,3802.3447659346275
23,Wholesale and retail trade,15.426775481673435,14.934445471026816,-0.49233001064661863,36426.49985472953,59181.02054112822,22754.52068639869
